Record_ID,Date,Customer_ID,Plan_Type,Plan_Tier,Subscription_Status,Monthly_Plan_Cost,Contract_Duration_Months,Auto_Renew_Enabled,Discount_Applied,Number_Ported_from_Another_Operator,Roaming_Enabled,Last_Plan_Change_Date,Add_On_Services_Subscribed,Plan_Customization_Level,Payment_Method,Loyalty_Program_Enrollment,Bundle_Discount_Utilization_Rate,Plan_Downgrade_Upgrade_Frequency,Contract_Early_Termination_Rate,International_Plan_Enrollment_Rate,Subscription_Pause_Requests
449100a0-c0c0-483a-85bb-6b1760640af4,2026-02-24,CUST-631283,Data,Basic,Suspended,131.99,19,Yes,Yes,No,No,2025-09-08,None,Standard,Direct Debit,No,0.91,2,2.37,24.17,2
d5e368d4-f30b-439b-b9bd-e6878d805c49,2026-01-01,CUST-216187,Bundled,Family,Cancelled,58.2,31,No,No,No,No,2025-10-23,None,Tailored,Credit Card,Yes,0.73,1,1.83,49.43,1
f2165336-9f95-4279-93b0-da82d5f5f35d,2025-08-01,CUST-536733,Bundled,Basic,Cancelled,141.38,32,Yes,No,No,No,2025-11-08,International Calls Pack,Standard,Mobile Wallet,No,0.6,1,2.81,19.02,0
92e5a4df-4181-4f19-9390-7ffd5ff26c51,2026-07-06,CUST-485394,Bundled,Enterprise,Active,106.66,17,Yes,No,No,No,2025-08-10,None,Tailored,Credit Card,No,0.67,2,1.64,5.28,2
1fe41868-4578-4696-bffd-36aee7e3ccb2,2026-07-23,CUST-998743,Voice,Basic,Cancelled,92.7,18,No,Yes,No,No,2026-07-08,None,Standard,Mobile Wallet,No,0.75,3,2.28,5.62,1
342a204c-3106-479c-b080-ee5b52febeb9,2025-10-26,CUST-283251,Voice,Premium,Suspended,97.54,32,Yes,Yes,No,No,2025-10-03,International Calls Pack,Tailored,Mobile Wallet,Yes,0.94,1,3.03,10.25,1
f4e24b22-7f5e-48d2-81f9-552be257fc59,2026-03-21,CUST-313980,Voice,Enterprise,Suspended,84.88,33,Yes,No,No,No,2026-05-20,None,Standard,Credit Card,Yes,0.8,2,3.17,15.42,1
e207a758-8539-432e-9a54-a9dadf66077c,2026-01-24,CUST-565876,Data,Family,Active,47.2,32,Yes,Yes,No,No,2026-07-07,None,Tailored,Mobile Wallet,No,0.53,0,0.23,28.02,1
70a46b86-77d8-407a-b937-08889093ca3d,2026-03-23,CUST-633289,Data,Basic,Cancelled,149.76,31,Yes,No,No,Yes,2025-12-04,None,Standard,Credit Card,Yes,0.67,2,4.15,32.35,0
076208ca-a0fb-4c49-9c4a-509104ed351d,2026-01-20,CUST-644679,Voice,Enterprise,Cancelled,90.61,15,No,No,No,Yes,2026-01-11,Cloud Storage,Standard,Mobile Wallet,Yes,0.57,2,2.81,11.67,1
bce53256-f576-4db9-a363-fddde63792d8,2026-02-04,CUST-438796,Bundled,Basic,Cancelled,82.92,29,Yes,Yes,No,No,2025-11-12,International Calls Pack,Tailored,Credit Card,Yes,0.61,2,3.17,31.69,1
0cb291a7-22fe-446c-93ad-5fe275d5b407,2025-11-18,CUST-997286,Bundled,Family,Suspended,89.09,25,Yes,No,Yes,No,2025-10-22,Voicemail,Standard,Direct Debit,Yes,0.69,0,2.47,10.34,2
3f738d18-0a8b-4330-9a35-bfaf8eeb9a29,2025-11-23,CUST-838320,Data,Enterprise,Active,114.42,25,Yes,No,No,No,2026-01-11,None,Standard,Direct Debit,Yes,0.6,1,3.45,11.11,0
59b3d62d-33e9-4d29-b36f-4583564a6e08,2025-08-07,CUST-725486,Bundled,Basic,Suspended,113.54,17,No,Yes,No,Yes,2026-07-08,None,Standard,Mobile Wallet,Yes,0.88,2,2.42,38.71,2
e6e91d9a-b840-44bf-aa95-dd500c35360d,2025-11-15,CUST-347058,Voice,Enterprise,Active,34.28,22,Yes,No,No,No,2026-02-21,Voicemail,Tailored,Mobile Wallet,No,0.52,1,1.13,7.43,0
dbe2c51c-008c-414f-91e6-c88325334fbe,2026-05-28,CUST-867566,Voice,Enterprise,Active,147.92,14,No,No,No,No,2025-11-19,Cloud Storage,Tailored,Mobile Wallet,No,0.56,0,4.97,5.04,1
2ad58e0c-b56b-46fe-ac4c-c460e4467714,2025-08-13,CUST-163869,Voice,Enterprise,Cancelled,50.85,16,No,Yes,Yes,Yes,2025-08-27,International Calls Pack,Standard,Direct Debit,Yes,0.76,3,4.14,32.91,1
eb69de5e-6be2-4efe-b470-194a14cfead2,2025-10-17,CUST-931282,Voice,Family,Cancelled,140.41,24,Yes,No,Yes,No,2025-09-23,International Calls Pack,Tailored,Mobile Wallet,Yes,0.87,1,2.83,8.45,1
d30e6f6c-c7eb-40a9-b335-e632d9d335f9,2026-03-26,CUST-798255,Bundled,Premium,Suspended,97.49,20,No,No,Yes,No,2026-01-22,None,Standard,Mobile Wallet,Yes,0.62,2,0.81,29.32,1
d1edab16-e787-4397-9230-b4a8bffdd446,2026-02-21,CUST-932708,Bundled,Enterprise,Suspended,48.84,26,No,No,No,No,2025-11-03,None,Standard,Direct Debit,Yes,1,1,4.34,16.84,2
55680fef-d139-481e-b4d9-2aa488cf3ad8,2026-01-22,CUST-739969,Bundled,Basic,Active,83.17,32,Yes,Yes,No,No,2025-08-07,Cloud Storage,Tailored,Credit Card,Yes,0.53,1,4.21,43.13,2
