Record_ID,Date,Customer_ID,Churn_Probability_Score,Churned_in_Last_12_Months,Retention_Campaign_Target,Downgrade_Upgrade_History,Call_to_Competitor_Network_Count,Win_back_Success_Rate,Contract_Renewal_Rate,Reasons_for_Churn_Categorical,Reactivation_Rate,Average_Tenure_in_Months,Churn_Prediction_Model_Accuracy,Retention_Offer_Acceptance_Rate,Competitor_Switch_Rate,Churn_by_Plan_Type,Retention_Cost_per_Customer,Customer_Re_Engagement_Rate,Early_Churn_Rate_within_first_90_days,Loyalty_Program_Impact_on_Retention,Churn_by_Region
ddfcb4e4-5773-4737-a1ba-07100000bfd4,2026-01-04,CUST-729763,0.31,No,No,None,3,37.09,88.8,N/A,7.07,32,93.31,23.81,9.24,Bundled,6.5,16.99,6.76,0.47,East
779d21d1-9930-4236-972d-9d71c01d1130,2026-05-26,CUST-797290,0.6,No,No,Downgrade,3,28.26,78.34,N/A,19.77,7,84.93,21.2,4.84,Voice,26.41,39.63,7.03,0.31,South
17acb301-a0af-4de2-8c45-a4ef38526c5b,2026-03-03,CUST-329410,0.38,No,No,Upgrade,4,19.28,62.56,N/A,19.37,14,79.39,39.22,3.31,Bundled,34.82,36.84,3.78,0.43,West
e03605b1-fb2e-4726-a2be-8b69331d129e,2025-10-12,CUST-198143,0.68,No,No,Upgrade,1,35.58,86.33,N/A,8.06,33,84.44,57.46,1.48,Data,10.81,34.66,3.11,0.28,North
4b89c6d3-772c-4ab9-ac75-f80ffda26b67,2026-01-21,CUST-858355,0.29,Yes,Yes,None,3,28.2,74.32,Competitor Offer,14.15,24,79.4,58.65,6.73,Bundled,9.19,16.66,10.66,0.44,East
59043e2e-d5f1-45cf-a909-2b99934cb140,2026-02-15,CUST-107769,0.19,Yes,No,Upgrade,3,38.52,75.58,Competitor Offer,10.33,9,87.76,55.22,9.85,Data,43.34,33.11,14.13,0.48,East
f11490a6-6228-46dc-8d3e-36e165760fc5,2026-05-04,CUST-181011,1,No,Yes,Downgrade,4,36.87,82.96,N/A,7.32,7,87.44,22.63,1.35,Bundled,49.15,49.76,14.57,0.21,South
71dd2736-8e6b-42ef-9084-789a646af84d,2025-10-26,CUST-855395,0.92,No,No,Upgrade,0,39.36,85.97,N/A,19.69,28,90.57,57.74,7.15,Voice,9.08,16.86,6.13,0.35,South
a2c694df-01a5-4b0b-9bf1-c655f6c374b5,2025-09-28,CUST-255001,0.04,No,No,Upgrade,4,16.58,61.08,N/A,10.12,41,83.02,42.43,9.85,Voice,44.98,46.08,7.66,0.21,East
738e558c-eb00-4801-900b-a70a34e5bec1,2026-02-23,CUST-941982,0.11,No,Yes,None,3,31.61,83.87,N/A,10.44,59,73.93,33.24,6.78,Voice,33.21,36.17,13.95,0.47,North
42997320-600d-474e-8a31-03f690d794de,2025-12-04,CUST-253451,0.66,No,No,Upgrade,1,37.04,70.95,N/A,5.8,62,87.36,34.48,2.94,Data,16.51,33.51,1.29,0.19,West
52320945-66cb-4de6-985e-a61595f5b5a9,2025-09-13,CUST-948837,0.35,No,No,Upgrade,3,20.39,86.11,N/A,7.1,68,76.78,39.06,7.17,Voice,43.19,25.38,3.65,0.43,West
