Record_ID,Date,Customer_ID,Customer_Satisfaction_Score_CSAT,Net_Promoter_Score_NPS,Support_Tickets_Raised,Support_Ticket_Resolution_Time_Avg_Hrs,Complaint_Type,Customer_Sentiment_Score_via_NLP,App_Login_Frequency_Per_Month,Self_Service_Usage_Channel,Unpaid_Bills_Count,Average_Billing_Delay_Days,First_Contact_Resolution_Rate,Customer_Effort_Score_Ease_of_Interaction,Complaint_Escalation_Rate,Self_Service_Abandonment_Rate,Customer_Feedback_Submission_Rate,Social_Media_Sentiment_Score,Customer_Loyalty_Index,Channel_Preference_Shift,Proactive_Support_Engagement_Rate,Billing_Clarity_Satisfaction_Score
37b4fb34-51cc-4b4d-b1c8-dcda0aa1a7c4,2026-03-08,CUST-927998,4,-60,2,7.7,Network,0,26,App,1,13,60.42,3,1.2,17.74,11.55,0.83,0.89,None,9.49,1
ff13656e-120d-4407-828d-382d71b1baf0,2025-11-26,CUST-695320,2,-83,1,33.3,Network,1,15,App,1,13,68.08,3,9.64,39.38,4.2,0.42,0.59,None,10.12,4
2898805a-5482-4b40-a5ed-1d0f0c471764,2025-12-30,CUST-722341,3,36,1,50.7,Service,-1,19,Web,0,14,93.41,4,8.86,11.29,8.25,0.98,0.83,None,6.31,2
1ed899af-4d52-4dfe-a388-4fbc8c67866f,2025-09-06,CUST-944311,5,-93,2,69.2,Network,0,17,App,1,9,86.2,2,4.42,11,16.96,0.2,0.97,None,27.86,2
48da256f-e3b5-4bb6-b8e8-42b9fbbc36b1,2026-01-26,CUST-780197,4,76,2,21.8,Service,1,16,Web,2,11,67.3,4,7.96,12.78,11.01,0.85,0.8,None,19.67,4
a2bb2781-b2bd-4579-a59f-2f596945ea97,2026-07-07,CUST-482583,5,-23,2,63.2,Other,-1,27,Web,2,11,80.97,2,1.29,25.95,10.24,0.34,0.94,Web to App,27.83,1
dc8cad86-b27a-4759-8539-02b79e5ca24d,2025-08-12,CUST-966594,2,-98,5,1.7,Other,1,29,App,2,2,84.44,2,2.68,17.87,6.91,0.22,0.64,None,29.23,2
7ec6e358-146f-4f8a-aea9-7a8de201b121,2026-06-03,CUST-520192,1,67,1,35.3,Service,1,23,Web,0,4,79.81,1,1.05,35.12,4.66,0.59,0.8,None,24.96,4
8194fdc7-b6b2-424d-8f7d-b3eccfcdf1a1,2025-08-17,CUST-141785,1,74,5,64.8,Other,-1,5,App,3,12,67.15,4,6.83,37.36,19.72,0.6,0.91,Web to App,26.04,1
e909c3ed-6e68-4574-8cbc-12ae567f8cb8,2026-06-27,CUST-262778,4,52,3,64.8,Network,0,3,Web,2,7,66.65,2,6.51,30.81,2.85,0.13,0.73,None,9.73,4
4cc64c8d-4b5e-4610-9188-ec311dc1e8d3,2026-05-31,CUST-378503,3,-74,1,61.5,Billing,1,28,Web,2,0,71.98,2,3.38,13.47,18.29,0.52,0.54,None,20.22,2
bf65bb32-4223-4a35-ae66-6783910fce3d,2026-04-12,CUST-656897,2,-2,1,12.9,Service,0,19,Web,3,5,61.53,1,5.47,38.77,18.95,0.45,0.83,None,12.16,5
5c140a22-300a-4347-98a8-e52c430d0a14,2026-03-12,CUST-489562,5,-91,1,12.9,Technical,0,20,App,3,5,81.2,2,7.57,37.6,14.74,0.53,0.92,None,10.35,5
d4a0adcc-5dca-43af-ab53-657e3c08fe90,2025-09-13,CUST-828858,3,35,4,12.4,Technical,0,2,Web,1,3,66.15,3,6.79,8.2,12.82,0.9,0.68,None,22.26,3
162c3598-6eda-4783-8ac6-1608804c708d,2026-07-06,CUST-613790,4,87,5,13.3,Service,1,22,App,2,7,79.62,3,5.38,7.66,2.09,0.32,0.7,None,28.79,3
a59a2d3c-8ce0-43ff-87aa-2324d86a82f0,2026-04-22,CUST-701913,2,-85,0,15.5,None,-1,6,App,1,1,87.64,3,6.52,24.3,3.07,0.68,0.99,None,13.76,2
77f96113-c475-47fb-9877-580a4d0be8fd,2026-07-23,CUST-869660,1,12,5,38.4,Technical,0,5,App,3,6,66.95,2,2,13.33,5.59,0.72,0.95,None,13.84,1
8ca82a06-2d64-42a4-8c16-0f16de821f33,2026-03-14,CUST-276379,2,66,1,10.5,Billing,1,3,IVR,2,2,87.1,3,7.26,25.76,6.04,0.82,0.83,None,15.74,2
72942563-ecc8-4428-97e4-b3c393f89786,2026-04-04,CUST-340052,1,-44,4,33.4,Service,1,18,IVR,2,2,74.09,3,4.35,25.75,2.25,0.74,0.98,None,19.64,2
2d8737bf-1907-4bd9-8aca-b8aaf0faed30,2025-08-31,CUST-694119,2,-72,1,18.2,Technical,-1,27,IVR,0,13,78.53,4,6.33,7.28,13.14,0.36,0.51,None,22.67,3
33ca0154-8df0-427d-96c7-d1ba83aaf4ba,2026-07-08,CUST-390651,2,37,3,47.2,Other,1,1,Web,2,4,90.37,3,1.71,19.98,6.31,0.32,0.95,None,27.61,5
41f0415b-6a7d-4cd8-8056-55b664d541a5,2026-06-16,CUST-169351,3,58,4,53.6,Other,0,13,IVR,1,10,77.24,3,2.3,31.23,5.59,0.7,0.65,None,24.19,2
24c46be2-e1db-4226-bf58-53f10fbb672d,2025-09-06,CUST-827734,2,89,2,44.6,Other,-1,3,Web,2,6,81.12,3,8.66,23.27,19.19,0.96,0.88,None,22.69,4
d038956b-ec16-40d5-b2f8-45a0da1e938a,2025-08-11,CUST-241248,2,-63,4,32.9,Network,-1,20,Web,1,9,71.88,3,0.55,8.93,14.14,0.35,0.73,None,11.78,3
4968d6b5-d010-4527-bfa5-99760afef67e,2025-10-15,CUST-674409,1,95,3,34.9,Technical,1,11,App,3,1,86.02,2,6.8,39.13,4.95,0.62,0.77,None,17.93,2
e12a7db4-cbce-4af8-8be5-c0c74e6a56c7,2025-07-31,CUST-819278,3,-73,4,18.8,Billing,1,30,Web,2,2,74.9,3,0.72,10.13,18.97,0.19,0.74,None,11.96,2
d9ea470f-800c-4f40-8537-8516c8145ef5,2025-11-25,CUST-811235,2,-25,3,57,Service,-1,19,IVR,2,3,67.12,2,1.97,7.89,4.03,0.75,0.67,App to Web,16.7,3
93589275-b51d-44d2-9385-558a29118095,2026-02-28,CUST-906396,2,10,3,4.3,Billing,0,23,App,1,13,80.01,2,4.43,25.51,4.84,0.55,0.91,None,8.94,2
cd59cf4e-7a8c-45a8-9780-2b7a6e4ac9a8,2025-10-14,CUST-627432,2,72,3,42.5,Network,-1,28,Web,2,6,76.11,2,8.73,34.75,14.58,0.61,0.82,None,19.58,2
c8a20d0a-2ef6-4f2d-b033-4b7ff6894350,2026-03-05,CUST-603923,4,63,4,38.8,Technical,0,8,App,1,1,81.92,4,3.06,21.42,16.34,0.82,0.62,None,21.14,2
d4cfb990-60b1-4979-8be7-b78cbafb22f3,2025-12-05,CUST-325190,4,-3,1,27,Technical,-1,10,App,1,8,71.74,3,3.76,5.78,5.52,0.96,0.75,App to Web,20.6,2
3e74d360-3cda-43e8-a755-7b16068789fb,2026-01-13,CUST-608774,4,21,5,15,Billing,0,3,Web,3,2,69.64,5,4.75,35.06,19.7,0.48,0.89,None,18.66,4
3d9bf8c5-bfdd-4b25-bb84-440b54e2cc34,2025-11-21,CUST-654391,4,29,1,32.3,Service,1,19,App,1,10,61.33,3,2.5,17.73,12.61,0.56,0.84,None,18.74,3
3d8c42d2-46d5-42e8-87a1-2c678dbdf91e,2025-09-13,CUST-896457,3,89,3,60.1,Other,0,13,Web,3,3,71.3,5,8.13,39.58,18.04,0.2,0.82,Web to App,25.7,1
c02bf5fc-0175-47a8-a7c2-42c4f55286af,2026-01-26,CUST-534221,4,-2,2,1.8,Billing,-1,29,Web,1,8,75.76,4,6.22,14.11,2.07,0.86,0.63,None,22.07,1
bcfaec95-516a-4767-995f-2b843ca80725,2025-11-26,CUST-502513,4,-79,3,63.9,Service,-1,8,Web,3,12,77.2,1,8.48,11.76,2.73,0.1,0.71,None,18.99,3
edd87d3e-7153-44d4-a1f3-512f8e0b529b,2025-12-11,CUST-973825,3,-35,1,24.4,Network,0,22,Web,2,11,70.82,2,5.65,7.19,14.55,0.91,0.68,None,26.49,3
692a7552-b651-44e1-b6ff-14e3148c380b,2025-08-16,CUST-350322,2,91,4,56.3,Billing,0,19,Web,2,11,82.28,3,3.33,19.38,17.7,0.28,0.83,None,8.39,3
a4517ceb-ed1a-432c-865d-ea7df5565c42,2026-03-12,CUST-386376,2,-18,2,6.6,Billing,1,23,App,2,11,81.5,4,9.97,11.3,5.35,0.23,0.62,None,10.77,5
c4d0588e-4e8e-431a-b137-c59202f7cefc,2026-04-04,CUST-594721,4,-31,4,60.8,Service,0,28,App,2,11,84.79,1,3.96,14.1,14.78,0.46,0.97,None,12.76,5
8c9e95eb-d327-484a-96c7-f33aef5c4a96,2026-01-08,CUST-781638,4,-33,1,60.2,Other,1,24,Web,2,2,92.81,2,4.21,23.29,17.1,0.29,0.77,None,16.64,2
72f5e96b-3eb3-4b69-9b28-2b910aeebd68,2025-11-26,CUST-694297,4,-77,2,19.8,Other,1,18,App,0,11,81.31,5,1.2,35.27,8.54,0.85,0.53,None,16.98,1
9886260c-fef2-49a9-acef-498bc1d0fdee,2025-12-27,CUST-310128,3,-57,0,63,None,1,16,IVR,1,12,69.8,3,8.02,38.7,9.35,0.77,0.54,None,13.43,2
d267deec-5ad0-4b90-a552-4bc106dd09d2,2025-12-02,CUST-371817,3,91,2,57.1,Billing,1,14,App,3,7,89.78,2,3.42,26.73,15.38,0.64,0.8,None,14.73,2
eb7ae786-9da2-4c39-9739-a9eed3e13f63,2026-02-04,CUST-494566,3,-16,4,8.4,Network,0,10,Web,1,8,79.08,3,4.62,15.67,11.83,0.86,0.52,App to Web,20.59,3
76b79faf-8348-4ecf-b0dd-34d7416c243a,2025-12-08,CUST-684108,5,79,1,61.5,Network,0,29,IVR,1,1,60.72,3,6.15,30.41,10.21,0.62,0.64,None,29.6,2
b26910be-a8f1-4218-9dfb-458686d0ab8e,2025-09-26,CUST-654774,4,59,0,26.9,None,0,20,Web,2,8,87.34,5,0.77,17.63,12.69,0.29,0.64,None,10.7,2
19cec65d-8297-489c-a25d-8b75a975094b,2025-12-20,CUST-901410,3,-22,0,26.1,None,1,29,Web,1,14,81.11,4,9.17,26.69,3.56,0.93,0.89,None,8.52,3
5fb4adc4-3a3f-43d8-970f-bc9c73c08fea,2025-09-07,CUST-829317,2,-34,2,31.1,Other,0,7,App,3,6,90.3,2,4.2,28.74,13.57,0.45,0.67,None,21.93,1
d8c74138-eeee-443a-a58a-039a98fa88c2,2025-09-24,CUST-820887,1,69,2,21.2,Network,-1,6,Web,2,14,72.92,2,1.36,5.5,19.65,0.73,0.56,None,22.8,3
619b6b62-b5bc-431e-a3db-9504e8100c08,2026-02-18,CUST-694594,2,-56,1,17.7,Network,1,11,App,1,9,66.53,3,8.04,21.99,1.4,0.76,0.7,None,23.39,4
dbff8600-a83b-4483-aa38-6e48e6dfe03a,2026-07-13,CUST-761382,5,63,3,58.2,Service,1,24,Web,3,8,60.42,5,2.55,39.83,4.08,0.24,0.99,None,7.84,3
e06d3f14-7822-47ae-a5f9-6a49389436c6,2025-10-17,CUST-356847,1,4,3,58.1,Network,-1,18,Web,2,1,90.23,1,5.27,16.4,1.58,0.99,0.72,None,22.91,2
32dee637-9076-4371-88c0-95479eff07a8,2026-02-14,CUST-591638,3,-25,1,28.9,Service,0,18,App,1,1,79.72,4,4.35,6.98,8.95,0.15,0.89,None,9.41,5
2ac27d07-b45e-44c8-97fd-1526b9a65152,2025-11-02,CUST-127496,3,11,2,37.9,Technical,-1,18,IVR,2,12,65.13,4,3.04,17.39,3.23,0.44,0.99,None,6.42,5
a61af814-1b1d-4746-a406-b12c2dc5292c,2026-04-06,CUST-621989,5,-66,2,3.4,Network,-1,18,App,0,11,65.39,2,1.59,22.35,4.69,0.64,0.54,Web to App,11.61,3
916918fa-db6b-4efc-af30-3cb7744b3660,2026-02-16,CUST-302881,4,-23,2,33.3,Technical,1,15,Web,3,10,67.31,4,9.31,13.9,13.38,0.49,0.8,None,24.47,1
68d14151-eea7-4d9b-8095-64659bafb288,2025-12-25,CUST-834240,2,76,4,56.5,Network,0,29,Web,2,10,72.58,4,9.04,14.28,7.18,0.33,0.93,Web to App,29.78,4
20679b54-b523-49fd-bd07-5888dca09080,2026-06-22,CUST-495213,2,-95,1,43.8,Billing,0,19,IVR,2,4,69.52,4,8.14,36.12,17.98,0.31,0.77,None,6.34,2
c2b9071e-25e1-4c6c-8277-ef479988abf4,2025-12-19,CUST-874138,4,-57,1,65.1,Network,0,2,IVR,2,12,65.33,2,7.64,27.69,7.36,0.41,0.92,None,6.78,3
e27709df-a39c-421e-a119-c3d86604dff4,2025-10-19,CUST-234439,2,33,1,71.9,Network,1,14,Web,1,7,76.72,2,6.25,26.78,6.62,0.7,0.53,None,15.73,5
5157cbb4-609d-420d-a270-595ee9085836,2025-11-01,CUST-156819,2,-64,5,9.1,Technical,-1,20,Web,1,0,69.95,2,5.78,39.72,18,0.9,0.86,None,11.16,4
6aa80339-ad00-4c81-928e-601215957157,2025-09-03,CUST-155220,5,96,4,40.7,Other,0,11,App,0,1,86.42,5,3.63,22.49,1.23,0.87,0.68,None,17.91,4
6d43c596-a6db-4a91-8d9e-37e889933edb,2026-01-24,CUST-287385,3,91,3,39.5,Other,0,27,IVR,2,7,90.17,1,5.5,28.53,10.86,0.91,0.82,None,18.55,2
fa335c13-ddae-46c1-9ea1-c1b13cd9046b,2025-07-27,CUST-181217,3,3,2,15.4,Network,0,13,Web,2,13,84.1,3,7.04,5.49,14.41,0.68,0.64,None,24.93,4
8d390e00-8cc8-41c0-940d-18227c1e9890,2025-07-26,CUST-815654,5,83,4,13.9,Service,1,21,Web,1,6,90.43,4,4.51,32.3,19.2,0.77,0.71,None,20.79,3
4e6c3a2b-84c8-4718-9fa8-fc46a6dc64d8,2025-11-19,CUST-554090,2,-83,1,10.2,Service,1,25,App,2,13,83.75,2,4.63,6.09,7.4,0.67,0.58,None,24.62,4
cae39815-c7c3-43a9-814e-d3e47e1c4682,2026-06-21,CUST-259019,4,36,1,1,Other,-1,10,Web,1,3,93.24,4,4.84,8.48,14.62,0.86,0.86,None,5.79,2
48729b36-0567-414c-b168-2f67b595eca5,2025-09-11,CUST-520455,2,94,1,43.5,Billing,1,14,Web,2,2,94.87,4,9.95,23.03,3.2,0.47,0.56,None,25.98,1
475d6f36-8835-4308-8757-637ab52e4c0d,2025-11-14,CUST-415179,5,-23,4,66.6,Technical,-1,18,App,3,6,62.24,2,0.19,34.97,1.87,0.57,0.95,None,9.01,4
66aec161-4db1-4526-aff3-b7d67c227e97,2026-02-08,CUST-533281,2,81,1,18.9,Technical,1,5,App,2,3,93.07,1,4.09,23.4,1.19,0.55,0.63,None,24.09,1
a3e2aa86-867e-48e8-ac96-9db835e1f62b,2026-03-30,CUST-681578,5,-81,4,69.1,Service,0,3,IVR,3,4,92.64,4,9.25,39.77,14.65,0.95,0.67,None,14.15,3
f9577ec3-4e1c-4ef9-a9c2-98c60b6760df,2025-08-14,CUST-606218,1,-65,4,21.7,Other,1,19,App,1,6,66.6,2,4.15,37.51,5.04,0.37,0.78,None,8.6,2
abb6403c-e5de-44ea-8dfb-2aaaca3b9d7f,2025-08-13,CUST-191881,4,-34,4,66.5,Other,0,25,Web,1,13,83.23,4,4.36,27.71,6.06,0.7,0.9,None,16.67,3
b3efadc0-29c0-4ea0-be5a-100fca32e120,2025-07-26,CUST-842103,3,-54,3,61.4,Service,1,14,IVR,0,5,73.18,3,9.11,32.74,9.02,0.23,0.75,None,16.53,2
cbb8d586-ac58-4c71-938f-b8b8d99326bd,2025-11-14,CUST-651345,1,69,2,24.8,Service,-1,28,Web,1,0,77.68,4,2.64,17.07,6.9,0.49,0.99,None,27.56,2
9fff95f1-be97-43dd-83be-e8f96a345551,2026-06-11,CUST-435679,2,-70,2,71.9,Service,-1,21,App,0,14,74.47,4,3.08,22.37,14.42,0.91,0.6,None,8.37,5
19f62f45-e41e-4aab-97a3-0f0fe2506298,2025-12-21,CUST-752314,3,-89,4,44.4,Other,0,28,Web,0,14,62.64,2,7.52,23.16,14.72,0.71,0.63,None,17.18,3
38420fe8-2698-4401-a9a4-3ec976eda195,2025-08-24,CUST-366374,3,-23,2,71.7,Billing,0,6,Web,1,8,76.69,2,0.56,28.14,18.44,0.8,0.9,None,6.25,1
