Record_ID,Date,Customer_ID,Age,Gender,Occupation,Location,Subscription_Start_Date,Customer_Segment,Device_Type,Device_Brand,Device_Model,SIM_Card_Type,Multiple_Lines_Associated,Income_Bracket,Education_Level,Household_Size,Preferred_Communication_Language,Device_Ownership_Status,Customer_Referral_Source,Demographic_Diversity_Index,Urban_vs_Rural_Classification,Family_Plan_Participation,Device_Upgrade_Frequency_Months
21592841-a81f-4b81-9912-fac396637992,2025-10-23,CUST-112460,18,Other,Artist,Houston,2020-12-24,Enterprise,Smartphone,OnePlus,Model C,eSIM,No,Low,High School,3,French,Owned,TV Commercial,0.66,Urban,No,6
4e5a9c1c-bb99-4b67-98b8-dbe946f14edd,2025-12-04,CUST-966619,61,Female,Engineer,Los Angeles,2020-11-14,Postpaid,Tablet,OnePlus,Model B,eSIM,No,High,Masters,5,English,Owned,Friend Referral,0.47,Rural,No,35
1d3dbf9c-74c1-4227-a56b-3ccf0ac7f91f,2026-01-04,CUST-446019,39,Female,Engineer,Houston,2023-10-17,Enterprise,IoT Device,Apple,Model C,Physical,Yes,Medium,High School,5,Mandarin,Leased,Online Ad,0.47,Urban,Yes,7
517fa660-26a9-4ac3-a289-ea02ae7f4194,2026-04-19,CUST-990392,44,Female,Other,Rural East,2024-10-15,Enterprise,Tablet,Google,Model B,Physical,Yes,High,Bachelors,2,Spanish,Owned,Online Ad,0.51,Urban,No,9
44525943-4532-4565-b14d-cdc9bf6c6e93,2026-04-07,CUST-772102,23,Female,Doctor,Houston,2018-09-17,Prepaid,Smartphone,Xiaomi,Model B,Physical,No,High,Bachelors,4,English,Owned,Friend Referral,0.36,Rural,No,31
2fb5d369-2998-41ed-be73-4568e0455fc6,2026-04-08,CUST-701120,30,Male,Student,Los Angeles,2021-07-26,Enterprise,Tablet,Apple,Model B,eSIM,No,Medium,High School,1,English,Leased,Retail Store,0.18,Urban,Yes,15
78f62da6-4410-4fc4-933c-d08e9d28e5d8,2025-11-20,CUST-238979,62,Female,Student,Los Angeles,2023-11-25,Enterprise,IoT Device,Xiaomi,Model C,Physical,No,High,Bachelors,3,English,Owned,TV Commercial,0.84,Urban,No,30
480daa47-5463-4613-9cc0-c0976fedd9c4,2025-08-21,CUST-428069,27,Female,Student,Chicago,2021-11-09,Prepaid,IoT Device,Samsung,Model B,eSIM,No,High,PhD,4,English,Owned,Retail Store,0.92,Urban,No,8
9b1c8985-b619-467e-8764-f2f2382093c2,2025-08-24,CUST-559220,65,Other,Artist,Houston,2022-12-28,Enterprise,Smartphone,Apple,Model C,eSIM,No,High,Bachelors,4,Spanish,Owned,TV Commercial,0.19,Urban,No,19
ff01021a-9e1f-4f7a-9897-eb9b701ad34f,2026-07-18,CUST-538289,53,Female,Business Owner,Rural East,2019-03-29,Prepaid,Tablet,Huawei,Model C,Physical,No,High,Bachelors,5,French,Owned,TV Commercial,0.24,Rural,No,15
879cfd7f-cedb-4361-a841-b7f7584a5d3a,2025-10-29,CUST-320569,40,Other,Retired,Houston,2020-08-14,Postpaid,Tablet,OnePlus,Model B,Physical,No,Medium,PhD,1,English,Owned,Online Ad,0.32,Rural,No,22
8b7c4f7d-1176-4def-99cf-3781a2fc681e,2025-12-27,CUST-595290,48,Other,Teacher,Rural East,2023-07-28,Postpaid,IoT Device,Samsung,Model C,eSIM,Yes,High,PhD,4,French,Owned,Retail Store,0.11,Rural,Yes,22
