Record_ID,Date,Customer_ID,App_Crash_Rate,Website_Conversion_Rate_e_g_plan_purchases,Digital_Onboarding_Completion_Rate,Chatbot_Interaction_Success_Rate,Virtual_Assistant_Usage_Frequency,Digital_Payment_Adoption_Rate,Customer_Portal_Error_Rate,Mobile_App_Feature_Usage_Rate,Digital_Customer_Satisfaction_Score,API_Response_Time_third_party_integrations_ms
5b39d135-fb4b-41aa-9ded-03456c99b554,2026-01-04,CUST-918195,0.17,2.77,86.63,85.46,6,46.84,1.24,Usage Monitoring,0.95,339
e0370520-95bb-4d48-8cee-2f777dac2eab,2025-12-13,CUST-676315,0.99,5.64,78.69,89.06,6,34.66,0.56,Add-ons,0.73,64
1ef60501-405f-42b1-ba00-88f9db1a585b,2026-01-04,CUST-233808,0.14,3.08,84.64,84.92,7,35.3,1.86,Usage Monitoring,0.97,227
b1c5aec1-6794-42bb-9db1-409b2c159c9b,2026-07-07,CUST-683429,0.36,4.06,88.4,80.09,9,32.57,2.21,Usage Monitoring,0.74,251
0c66352a-3b2d-406e-ab57-aaf48c7a5f29,2026-05-05,CUST-731082,0.19,5.7,72.82,69.13,6,61.54,0.55,Billing,0.88,371
fb5ca1af-9969-4dc1-a2ab-99c8478301ff,2025-11-08,CUST-996002,0.08,2.98,84.38,73.57,4,73.72,0.15,Add-ons,0.63,412
49c3a7e9-4e6b-4901-800e-ce7b409d746d,2025-11-05,CUST-486154,0.33,8.45,93.82,80.46,3,41.03,2.15,Support Chat,0.65,264
0be94719-b7dd-46f8-be5c-0d660a8d539c,2026-07-24,CUST-457696,0.36,7.27,73.33,73.45,7,44.98,2.78,Billing,0.68,481
1ace4f6f-a2de-4e67-85db-ad736a33bbc9,2025-10-14,CUST-157725,0.24,1.45,71.86,70.08,6,46.46,1.31,Usage Monitoring,0.77,82
e6e3b692-5dc5-46f0-b1e8-1595256fe63e,2026-04-07,CUST-970371,0.05,5.32,78.58,89.44,6,67.25,0.4,Support Chat,0.99,290
0f8bbd15-3943-4a3b-aedf-fa48e3daddda,2026-04-17,CUST-817462,0.32,4.04,93.59,75.6,0,42.53,0.67,Billing,0.68,413
d0cadb72-ddb7-4c9e-98c8-3cca8f106150,2025-08-29,CUST-494010,0.07,4.33,77.19,74.82,7,78.4,2.43,Plan Change,0.74,473
ff5ae820-7641-407c-95dd-59bfca526fa3,2026-01-23,CUST-421647,0.79,6.28,94.95,72.29,9,77.44,1.12,Support Chat,0.88,419
97c2d51d-f0bf-4ba8-9e56-eefe46bdfd19,2026-02-01,CUST-693723,0.07,6.43,78.1,84.58,4,33.42,2.94,Billing,0.98,408
99eb43ee-4a37-467b-95e3-e9bfe975f103,2026-04-19,CUST-638950,0.76,1.4,81.16,64.15,3,72.67,2.91,Billing,0.88,404
40126809-327e-44f6-8489-5b2863b0f952,2026-03-25,CUST-962420,0.71,7.56,81.09,84.65,4,76.9,2.78,Add-ons,0.66,254
af8e7f82-25c7-47f9-b0be-44ec64032526,2026-02-17,CUST-311519,0.5,1.59,89.44,74.07,6,68.57,2.68,Add-ons,0.69,116
cec79e34-18f2-4491-a046-fe8e37ca6458,2026-06-14,CUST-157395,0.7,2.52,94.4,80.05,3,78.66,1.69,Add-ons,0.78,53
30cc36ce-4d42-4508-8220-36f1dd49278f,2025-11-07,CUST-856684,0.63,5.59,71.26,87.06,9,70.69,1.92,Support Chat,0.66,216
fe8de9b8-623b-4193-827c-b0e958579fe0,2025-10-11,CUST-593137,0.3,1.83,89.85,69.17,7,64.15,2.81,Plan Change,0.84,282
f9ff386a-f91e-4660-8a46-1151d6128e8e,2025-11-11,CUST-930148,0.69,4.31,70.02,81.47,5,77.73,1.67,Add-ons,0.89,189
146d675e-c48b-42a4-ad0e-f612f0ee12b2,2025-11-30,CUST-566243,0.51,8.83,80.55,85.28,1,35.55,2.32,Usage Monitoring,0.61,63
e2bc9cbb-6ddd-43b7-b10b-26cbaacebb25,2026-02-23,CUST-482783,0.2,7.66,78.98,79.53,3,32.47,2.02,Plan Change,0.72,235
