Record_ID,Date,Customer_ID,SIM_Swap_Frequency,Unusual_Call_Patterns_Flag,High_Roaming_Alert_Flag,Device_Blacklist_Check,Account_Hijack_Risk_Score,Multiple_SIM_Registration_Attempts,Identity_Verification_Passed,Call_Forwarding_to_Premium_Numbers,Shared_Device_Flag,Fraudulent_Payment_Attempts,Account_Takeover_Detection_Rate,SIM_Cloning_Incidents,KYC_Compliance_Rate,Suspicious_Device_Change_Frequency,Fraud_Investigation_Success_Rate,High_Risk_Transaction_Alerts,Roaming_Fraud_Detection_Rate,Multi_Account_Linkage_Risk_Score
c66c06a7-7fd1-41e4-9e3b-471bb853c2f7,2026-04-30,CUST-121801,0,Yes,No,Yes,0.95,1,Yes,No,No,3,91.44,0,92.48,4,56.35,No,1.1,0.47
1e733fce-5cfc-4131-bea2-32be1136d904,2026-04-08,CUST-332165,2,No,No,Yes,0.28,2,Yes,No,No,2,94.86,1,98.23,1,66.95,No,0.15,0.56
1d5c35f4-858d-42e4-a3e7-6887b5b6abd3,2025-08-20,CUST-643729,1,No,No,Yes,0.48,1,Yes,No,No,2,92.71,0,99.16,2,81.92,No,1.73,0.58
ea223a6a-cd15-4f23-8257-360fa1d5f8a4,2025-12-10,CUST-283164,3,No,No,Yes,0.89,2,Yes,No,No,0,91.29,1,92.16,3,73.17,No,1.51,0.67
27d45f7d-c723-4caa-ac5b-839c01651862,2026-01-08,CUST-487198,0,No,No,Yes,0.45,2,Yes,No,No,1,80.34,1,99.19,4,69.39,No,1.44,0.45
cd521a8d-d5b0-41cb-9e30-966e3591caa6,2025-09-05,CUST-727016,2,No,No,Yes,0.68,0,Yes,No,No,1,84.69,1,94.75,3,84.69,No,1.66,0.23
ec9dcc05-548d-490d-a294-14c4be8bc1b5,2026-06-30,CUST-202706,2,No,No,Yes,0.88,1,Yes,No,No,3,88.14,1,96.66,2,58.93,No,1.96,0.75
3d074abd-a7f8-435f-9053-b761737034e0,2026-03-05,CUST-110931,0,No,No,Yes,0.78,2,Yes,No,No,3,85.44,1,93.93,1,75.73,No,1.68,0.18
cd108091-8fd2-4aff-9776-595f88fca054,2026-04-12,CUST-751413,3,No,No,Yes,0.58,2,Yes,No,Yes,3,82.51,0,98.61,0,82.25,No,0.98,0.7
20bc5fc9-1f36-4c92-86a9-49300b93eb46,2025-12-30,CUST-490007,3,No,No,Yes,0.44,2,Yes,No,No,1,91.33,1,95.57,0,74.07,No,0.53,0.27
