Record_ID,Date,Campaign_ID,Campaign_Type,Marketing_Channel,Click_Through_Rate_CTR,Conversion_Rate,Offer_Redemption_Rate,Opt_Out_Rate,Campaign_Segment,Campaign_Cost_per_Customer,Upsell_Success_Rate,Cross_Product_Adoption_Rate,Campaign_Engagement_Rate,Cost_per_Acquisition_CPA,Retention_Campaign_ROI,A_B_Testing_Conversion_Lift,Social_Media_Campaign_Effectiveness,Personalized_Offer_Acceptance_Rate,Campaign_Response_Time_Avg_Hrs,Customer_Segment_Response_Variance,Marketing_Channel_Cost_Efficiency
2c09ab04-219e-47d6-9514-16e927c783a0,2025-09-22,CAMP-5337,Awareness,SMS,3.59,1.21,10.44,4.07,Demographic,5.97,1.88,8.65,12.3,90.46,87.16,3.06,0.7,30.18,13,0.45,0.77
deff04da-75b4-496c-9d99-957ed20a6bff,2026-01-01,CAMP-7320,Upsell,App Push,4.19,2.5,28.81,0.24,Behavioral,6.89,10.59,4.68,27.73,13.96,225.67,-1.07,0.6,11,35,0.18,0.6
5879b64b-5fb8-42db-b26b-83251f46b514,2025-09-28,CAMP-5022,Upsell,SMS,5.76,4.2,20.69,2.91,Behavioral,8.25,4.95,8.71,8.48,31.45,200.1,5.42,0.91,44.68,28,0.46,0.75
f52aacfb-16e7-405d-be32-c0d6cc595bc0,2025-10-11,CAMP-2619,Retention,App Push,9.3,1.79,6.01,4.04,Geographic,1.92,6.84,1.85,22.52,14.57,236.54,-0.08,0.56,42.49,3,0.43,0.85
98a8b9ca-68c6-4c2d-9e26-cff79e939524,2025-12-25,CAMP-1331,Retention,Social Media,8.53,1.3,29.97,1.23,Demographic,6.57,13.5,1.04,23.98,34.81,58.19,-1.19,0.93,49.64,13,0.3,0.95
3c0ff298-edd3-4ecb-bf7f-72e9ecb7c261,2026-06-30,CAMP-1351,Upsell,App Push,1.89,3.15,20.22,0.32,Geographic,5.31,9.64,6.53,28.57,11.46,221.53,8.79,0.93,22.39,22,0.36,0.67
cba28ffd-47cd-460c-a989-1bb6910c17af,2026-07-09,CAMP-8728,Retention,App Push,2.38,4.1,14.85,1.6,Geographic,6.4,1.43,2.76,25.82,73.61,280.78,3.73,0.66,49.14,33,0.26,0.86
6927637e-fe9d-446c-8532-db1c9adc1e61,2025-12-18,CAMP-6334,Awareness,Social Media,6.63,1.91,28.5,1.19,Behavioral,4.65,14.4,1.27,6.94,98.27,238.25,-0.1,0.69,15.59,47,0.14,0.69
4e1a5c56-7df2-448a-93d4-c027e197d67e,2026-03-01,CAMP-2167,Upsell,Website Banner,5.23,4.35,15.43,1.2,Behavioral,8.33,9.32,5.94,27.33,54.83,179.48,6.81,0.8,14.23,36,0.48,0.94
9f39fe6e-bf86-4100-a065-baa1ca4b5e4d,2026-07-12,CAMP-2907,Promotional,Social Media,4.07,3.58,22.2,0.98,Behavioral,1.82,7.94,7.59,13.11,28.66,88.44,6.47,0.86,37.37,28,0.1,0.67
75522595-0d45-4ba8-afaf-c47bcefd0fac,2025-12-13,CAMP-6489,Upsell,Website Banner,6.15,2.56,7.08,3.44,Demographic,7.36,11.53,5.07,18.66,57.28,280.56,-0.18,0.67,25.6,6,0.34,0.65
fb55ebe2-da44-4290-98e8-9df82e7d8d44,2026-06-25,CAMP-8385,Promotional,Website Banner,8.36,0.85,12.03,0.52,Behavioral,7.27,14.68,8.58,23.81,69.66,285.06,8.05,0.75,20.52,18,0.31,0.93
c17f29b4-ab73-4004-ba66-996f5dbb314e,2026-03-14,CAMP-3946,Upsell,Email,3.19,2.87,10.92,1.33,Behavioral,9.07,1.65,5.33,28.65,84.07,108.06,6.78,0.92,42.22,40,0.44,0.97
e6e03f0a-a8ca-483a-becc-e4bd514a9a74,2025-08-27,CAMP-8438,Promotional,App Push,8.76,1.5,7.29,0.59,Demographic,5.61,11.83,5.74,21.9,88.96,175.51,9.23,0.98,33.36,3,0.44,0.7
86bbc70c-07d7-40ac-94f8-104ac49334a5,2025-12-09,CAMP-9448,Awareness,Email,6.14,2.68,20.03,2.8,Behavioral,9.38,8.88,7.58,15.4,77.46,205.58,3.33,0.84,27.18,6,0.21,0.91
067f3501-953b-428f-89d4-263f076e1acd,2025-08-31,CAMP-7614,Upsell,Website Banner,4.18,2.02,8.81,3.99,Geographic,2.18,7.29,4.93,28.01,26.54,235.7,3,0.58,36.55,39,0.45,0.66
718cacad-8586-4761-91c9-1316f7c0a475,2025-09-19,CAMP-6200,Awareness,App Push,9.31,0.75,21.45,1.14,Demographic,4.56,4.89,2.58,14.39,86.37,210.51,6.72,0.89,34.48,20,0.28,0.84
5378b6bb-d623-4ea2-a4c1-6b683610e422,2026-03-15,CAMP-1290,Awareness,Email,8.4,1.99,8.11,0.89,Geographic,1.45,2.3,3.79,23.54,87.62,188.23,-1.75,0.61,26.06,8,0.1,0.74
b277bc92-37cb-49c0-80d1-db5e65424792,2025-10-12,CAMP-4839,Awareness,Email,8.54,1.09,16.95,0.18,Behavioral,7.5,1.79,2.39,6.66,73.05,124.92,7.11,0.56,31.84,38,0.23,0.69
21ef78db-56ae-48e0-a26b-d2c96c90246a,2025-11-25,CAMP-4454,Awareness,Email,7.2,4.06,29.23,2.1,Demographic,2.32,7.73,5.48,12.84,93.79,246.36,9.15,0.89,22.42,2,0.23,0.75
8eba5873-48fa-43af-982e-166b6141b414,2025-08-16,CAMP-5082,Retention,SMS,4.91,2.75,11.34,1.64,Geographic,3.38,10.36,3.36,27.38,90.9,258.33,0.14,0.92,49.57,27,0.24,0.98
f77b4582-1391-4416-b128-4f7fe39bd772,2026-04-24,CAMP-8103,Upsell,Website Banner,4.18,0.83,18.93,2.12,Geographic,9.28,3.79,1.57,27.97,95.5,152.85,3.38,0.78,31.43,9,0.23,0.75
d7326dad-fde3-415a-91e2-23df4754a31b,2025-08-07,CAMP-6658,Retention,Social Media,7.64,2.02,13.98,2.78,Geographic,6.14,5.9,1.33,29.13,58.29,128.68,7.22,0.89,30.09,14,0.15,0.89
1f9cd6ff-91ea-4236-aba5-39b8aa3782b8,2026-04-09,CAMP-5656,Promotional,App Push,4.33,3.32,29.05,4.53,Behavioral,7.8,5.81,9.18,8.03,59.92,164.37,-0.27,0.74,48.89,26,0.43,0.78
95f6af79-8169-4f80-bcf9-efc957b1da0a,2026-05-29,CAMP-6926,Awareness,SMS,9.15,2.56,21.31,2.01,Geographic,8.05,13.15,1.99,22.64,26.54,195.75,0.25,0.96,32.14,31,0.18,0.79
861f87e3-6218-4555-96a4-6c35cb44d85a,2026-06-28,CAMP-6771,Awareness,SMS,7.83,4.87,23.72,0.64,Demographic,8.12,12.36,8.01,22.9,10.87,285.99,-0.29,0.86,48,41,0.5,0.97
570d77f3-383f-47d3-8c94-313c3a78a7cf,2026-05-10,CAMP-8037,Promotional,Social Media,3.86,2.05,12.48,4.51,Behavioral,4.33,1.79,8.2,18.07,96.79,253.86,7.13,0.76,37.38,22,0.41,0.78
3dfdb44d-783d-496e-97c3-fe2a83a61450,2025-10-29,CAMP-3507,Awareness,Website Banner,5.53,2.81,18.2,4.36,Geographic,8.84,8.11,4.07,23.32,78.14,263.92,-1.35,0.94,29.14,22,0.39,0.86
27d57e68-9b01-4969-b6ab-bce111081bc5,2026-04-30,CAMP-1523,Retention,App Push,2.5,4.68,16.52,3.03,Geographic,8.89,7.9,1.32,19.67,39.62,219.72,9.31,0.97,36.17,27,0.4,0.66
0e659e4f-d88d-4d3e-bc0e-002daea53dd5,2026-04-26,CAMP-5128,Promotional,Email,9.49,0.8,13.14,2.92,Demographic,6.82,9.83,3.46,19.05,76.65,135.55,1.08,0.58,31.68,40,0.35,0.98
358d4f4f-9863-4dc9-bb81-9755364c58b8,2025-08-29,CAMP-8095,Upsell,Email,1.6,3.11,20.95,0.54,Behavioral,3.14,8.75,1.04,17.3,12.47,296.23,-0.38,0.51,44.66,44,0.14,0.97
ab2b7277-0146-496b-a98c-105f28f5c8cc,2025-08-24,CAMP-8849,Promotional,SMS,4.21,4.95,12.32,4.6,Behavioral,5.84,1.07,8.64,20.83,71.01,101.56,-1.97,0.61,43.46,24,0.26,0.77
bbf84fd7-60a3-40ab-a64f-8c175c7d7ddb,2026-07-20,CAMP-4291,Retention,Website Banner,2.62,1.9,25.64,1.42,Behavioral,0.57,13.59,5.9,16.45,72.08,84.11,7.6,0.97,16.22,19,0.23,0.68
72788848-85ee-4023-a9c5-c584ccf7ddeb,2025-10-01,CAMP-3071,Awareness,Website Banner,9.44,3.8,17.08,2.48,Behavioral,5.64,6.18,7.15,12.53,42.31,134.52,4.72,0.5,34.6,39,0.41,0.91
