Record_ID,Date,Tower_ID,Network_Maintenance_Cost_per_Tower,Infrastructure_Upgrade_Frequency,Energy_Consumption_per_Tower_kWh,Network_Expansion_Rate_new_towers_month,Equipment_Failure_Rate,Mean_Time_to_Repair_MTTR_Hours,Network_Capacity_Utilization,Spectrum_Efficiency_Score,Backhaul_Latency_ms,IoT_Device_Connection_Volume
efa6bf51-561e-45d0-a1a2-e42b42b59524,2026-02-27,TWR-003,147.97,2,2770.2,4.3,0.7,8.9,64.44,0.61,15,8646
0da09c25-ac22-4d39-ad82-884057deaae4,2025-11-21,TWR-005,416.7,0,884.63,0.6,4.77,15.9,60.74,0.89,27,2514
b2fcc104-1d22-425f-9064-b79ee2147520,2025-10-20,TWR-004,522.76,2,1716.2,4.9,2.3,1.4,77.48,0.81,37,6411
67ef20c5-374f-45a1-8e18-6730b6297ff0,2026-04-08,TWR-001,363.02,1,4254.13,3.9,0.53,7.9,61.39,0.97,30,6779
99fe3d74-88b4-47ac-a7a4-309761b50002,2026-02-19,TWR-001,841.52,3,2341.84,0.8,0.99,13.5,81.7,0.58,20,4077
0565964c-fb4e-421b-8622-22810919505e,2026-01-04,TWR-003,678.99,1,625.23,1.4,3.32,23.9,91.57,0.79,49,7784
d2af2e93-a949-4673-9984-a66b177ac445,2025-11-29,TWR-002,678.28,1,4423.05,2.4,1.12,11.4,62.07,0.91,11,2607
8749b28f-e677-4e4e-a503-7a3b0125a640,2026-04-05,TWR-004,921.49,1,2313.77,4.3,1.64,22.2,60.19,0.8,27,1593
78202809-283b-46ce-a0e2-dd1f08254cc1,2025-12-18,TWR-001,482.38,0,1111.59,2.4,4.83,8.8,74.62,1,42,2409
372eaeec-a8c3-492f-98aa-144fea0ad72c,2026-01-22,TWR-001,838.59,3,3874.07,3.7,4.05,2.2,73.85,0.72,43,3501
4763e9b9-2bfa-4ef4-aec0-725968c30bb4,2025-10-04,TWR-004,806.55,1,1749.07,4.9,3.41,12.1,66.31,0.75,31,4618
17be5ee5-6a74-47d3-855c-22ea3593f106,2025-10-13,TWR-003,394.32,4,810.42,0.9,4.53,13.3,61.63,0.53,35,8183
2faf0775-3916-40d4-9918-8591aa296906,2026-06-23,TWR-001,515.53,1,4209.21,4.2,2.89,8.5,71.17,0.5,25,2685
90f56c42-268c-45dc-8ca4-4115abe9f854,2026-03-08,TWR-003,205.21,2,3455.89,4.3,1.8,1.5,87.89,0.69,7,8825
