Record_ID,Date,Regulatory_Fine_Frequency,Data_Privacy_Breach_Incidents,Compliance_Audit_Pass_Rate,Customer_Data_Consent_Rate,Spectrum_Licensing_Compliance,Emergency_Service_Response_Time_Minutes,Regulatory_Reporting_Accuracy,Fair_Usage_Policy_Violation_Rate
4aefcaff-44d2-4227-b368-cc62c8bab7c4,2025-12-22,1,2,98.98,83.82,97.8,5.6,91.75,3.34
4b1e08cf-2374-45fd-b204-c97d6b8fe97f,2025-10-12,3,2,99.73,83.67,96.39,6.8,91.22,3.99
41cb4551-d96d-4eca-b989-43709de54e82,2025-12-08,2,1,90.54,90.16,95.86,9.3,95.68,3.49
ad7bdf89-c004-4ee5-8804-7fb91eec6f3e,2025-12-07,3,0,94.02,95.94,99.38,8.2,91.89,0.81
11f6d4d0-6115-4ccb-b2a1-ab103b72945e,2025-11-02,2,0,90.77,80.53,95.97,1.4,90.92,3.99
cf5980a8-da99-4ec2-a4fd-8d2ccff4be01,2026-01-25,2,1,96.54,80.55,98.64,9.1,96.17,2.83
e0b765de-c66f-49ce-96c6-fe424ef388a1,2026-03-08,1,0,94.03,86.57,95.67,4.8,92.59,1.1
eec23a29-51f8-4546-a939-b20f31ed2b48,2026-03-29,2,0,98.99,90.09,96.69,3.6,90.27,3.24
8f30b0cf-5ea6-4607-aaee-17c85dc06a61,2026-06-14,2,2,91.12,82.71,96.85,4.5,99.79,3.91
c9625a33-1b4a-467e-9094-429e8f2c1773,2025-09-30,0,1,93.16,98.48,97.92,10,96.23,0.99
f410d69c-8c23-4ba1-892d-d018b9ccc91c,2026-06-20,2,1,92.1,84.22,95.64,1.7,96.2,0.5
5175a231-4588-40fa-87e3-3fc2020113af,2025-08-03,1,0,97.95,81.18,96.31,6.9,97.85,1.98
ece89393-9b16-40ac-9159-4bcc7fa30b89,2026-05-11,0,0,96.49,94.36,95.25,3.9,90.83,2.92
9cae8332-576a-4280-a56d-e9ef7425bbba,2025-09-09,1,1,94.05,94.9,98.86,7.5,91.52,4.49
7ef0564e-1da1-4f25-a8af-1de04eee8f99,2026-06-22,1,2,93.1,90.86,98.69,9.2,98.44,2.72
6eb8064d-04d8-4e16-959d-6f2bf39cc48c,2025-11-11,1,1,99.83,87.13,96.9,9.1,93.77,1.28
12acaded-b135-4a84-a3de-396bf4e6bca2,2026-04-17,1,0,92.06,97.91,97.03,7,92.39,4.15
0be9dbec-2445-40d5-9c25-17f67af37823,2026-06-29,2,1,98.88,93.05,98.66,5.9,90.76,1.86
2d2c5997-1d19-4e66-98cd-9155f6b8d362,2025-08-28,3,1,97.25,81.3,99,4.5,94.07,3.96
11833f3c-7bf5-4f52-bb0f-3df209167e9a,2026-05-07,2,0,96.53,86.13,96.98,9.7,93.64,1.17
a200d049-9d44-4feb-9414-061b266a52a6,2025-08-21,0,1,90.67,88.73,95.79,2.3,99.09,1.79
01f30647-f838-4c9d-9132-e465a6c3b8c1,2026-04-21,2,1,94.54,87.7,99.86,2.6,97.17,2.78
ece24683-dd68-4b81-8a78-432b08532587,2026-01-03,0,2,97.66,91.16,97.1,5.5,95.72,1
88b426bc-7afa-4722-8e7a-df104e680466,2025-08-17,1,0,92.74,96.57,98.46,4.7,98.8,1.35
8cbd6f78-29df-4103-89f9-e3381b2cd84a,2026-05-24,1,1,91.84,90.65,95.04,6.8,94.55,2.28
dff42a32-5a6b-4d57-8ddb-bf60414b9a12,2026-01-04,1,2,91.68,83.16,95.82,7.4,92.33,3.78
cf903f23-75a2-46f5-8f96-f0b1dcb0a7bd,2025-08-04,0,0,90.94,91.72,95.84,4.7,97.82,1.62
8060e62b-1703-443a-9ca6-96efa7b1be16,2025-09-21,3,2,96.56,92.89,97.42,5.6,96.71,0.26
90e067eb-f298-4cbc-9fad-c75a9c392417,2026-05-22,2,1,92.14,86.98,98.31,5,96.26,1.15
c9a223f4-486d-4759-b3f4-db2590d7ad0f,2025-09-28,3,0,97.78,80.69,98.12,1.6,95.72,0.76
4fc91485-656d-45a6-be50-762761b08936,2026-07-03,1,1,96.64,93.46,99.04,6.6,98.01,0.96
b8e9cb43-c1f1-4a6d-8ea3-0106da408637,2025-08-11,3,2,98.52,91.66,95.96,8.1,95.09,4.6
0cf797b2-cd63-4283-b7a0-4bc83ef94b2e,2026-04-13,2,1,95.19,88.29,99.07,5.9,98.25,1.36
ecf6e4e3-7b1e-4f23-bb8a-46647c12f5a9,2025-11-23,1,1,96.82,96.65,96.59,2,96.25,1.51
3deaa53f-e208-43bf-a5e6-06fbb04e6f21,2026-04-28,0,0,92.33,86.24,95.55,5,92.78,4.17
f2cccf39-b96b-403b-aa35-cc535fdef6c3,2026-03-23,2,2,94.6,94.56,97.47,2,97.09,4.92
8ae2303e-1ec2-4dad-94ce-a81e93765a48,2025-12-29,1,2,94.55,93.64,97.91,3.2,98.61,2.93
513ad5c0-32d6-43b9-b641-81dafd3511fb,2025-09-08,2,1,97.66,84.05,96.48,7.2,96.03,4.84
45df0cd6-50b6-4ec4-9791-12ff47e1c8c3,2026-05-19,2,1,95.16,83.27,96.17,9.6,99.27,3.84
3b656d04-e05f-4fd1-88d2-5b0b8b7b825b,2026-04-29,3,1,96.61,96.91,98.38,4.1,97.28,4.31
75412761-ec07-4a0f-acc0-7ebcf8b34e91,2025-08-22,2,0,95.15,86.95,96.37,8.3,92.05,2.4
f95bae75-8b0c-47b1-8639-87d8a0303894,2025-07-29,2,1,99.71,90.88,97.16,7.4,97.35,0.95
ea3cf74b-cd00-437b-98ea-56bcdbe9fe7b,2025-10-02,2,1,99.77,94.23,98.19,7.4,95.7,3.09
29ef9623-6b07-44d1-8f87-70b9c75dc438,2026-01-20,1,1,97.26,98.35,96.78,6,94.55,1.1
bba8a9a0-1b66-4ea1-9f0a-77730f2c8843,2026-04-08,2,0,96.68,98.7,95.27,2.7,98.39,4.35
ff60cf80-577e-4852-9547-fecf82544302,2026-03-28,1,1,97.96,86.3,97.65,4.5,96.95,4.4
c3f6e211-893d-456b-9d52-819d7bf973aa,2026-02-13,2,2,93.51,81.81,97.26,9.7,93.79,0.24
2f432649-3597-40a6-b351-f5d3160a5c7b,2026-06-23,0,0,91.43,90.39,97.98,7.6,96.45,2.74
b5c8d9ac-6c2c-4fe7-be84-d4a1ad6e4b8b,2026-06-08,1,0,98.99,87.54,98.46,1.3,94.98,2.56
77f937f9-809d-4585-b2b4-890300bcc259,2025-08-07,3,2,95.9,90.81,97.42,4.4,99.05,1.86
