Record_ID,Date,Customer_ID,Monthly_Revenue_per_User_ARPU,Lifetime_Value_LTV,Billing_Cycle_Date,Last_Payment_Amount,Last_Payment_Date,Outstanding_Balance,Bill_Dispute_Frequency,Roaming_Charges_Last_Month,Overage_Charges,Bundled_Services_Revenue_Contribution,Revenue_per_Plan_Tier,Payment_Failure_Rate,Revenue_Growth_Rate,Average_Revenue_per_Account_ARPA,Late_Payment_Penalty_Revenue,Revenue_by_Customer_Segment,Billing_Accuracy_Rate,Discount_Impact_on_Revenue,Revenue_from_Value_Added_Services,Cost_to_Revenue_Ratio
e2e6cb3a-b5c6-468d-808d-82f9bee9fba4,2026-03-24,CUST-359598,109.93,5386.570000000001,2026-02-11,42.18,2026-01-07,0,1,35.15,26.24,15.76,Basic,0.99,3.8,118.18,8.08,Enterprise,98.54,-5.6,13,0.43
f2f8db02-f293-4788-9541-a8430a604ed8,2026-04-19,CUST-224491,38.99,506.87,2026-06-19,68.38,2026-05-10,0,0,40.72,5.92,28.93,Enterprise,1.08,6.24,131.65,6.86,Prepaid,99.13,-6.81,19.61,0.44
b7acd5e9-6599-40a9-ac77-0ccae63c6b11,2025-11-15,CUST-684721,42.38,550.94,2026-03-02,95.57,2025-09-12,38.7,1,3.78,21.24,44.61,Basic,2.63,-1.17,61.46,3.42,Enterprise,95.51,-8.2,19.2,0.35
5dcf8fee-2f2d-4f57-b668-6ce84f32099a,2025-10-22,CUST-255890,136.83,7115.160000000001,2026-01-18,108.72,2025-10-08,0,0,25.69,27.38,32.82,Enterprise,1.26,-1.77,164.58,4.67,Enterprise,98.27,-2.86,7.08,0.41
d660a8db-0a44-42e6-bd02-94f19e15dc65,2025-09-17,CUST-676141,38.03,1254.99,2026-02-24,99.57,2026-01-06,0,2,41.68,11.59,14.39,Enterprise,3.71,1.98,194.8,9.72,Enterprise,95.35,-0.12,0.7,0.16
467c57da-d19b-4591-858c-98d4a39ebe45,2026-01-02,CUST-811045,28.17,985.95,2025-11-05,24.53,2026-03-04,0,2,45.33,22.51,23.89,Premium,0.14,0.55,131.37,9.75,Prepaid,95.42,-5,17.65,0.45
613ce17b-76fc-43fd-aeca-41132e18dff0,2025-08-03,CUST-925760,42.3,2495.7,2025-11-15,176.17,2025-09-11,0,1,37.4,6.87,43.41,Family,1.47,-0.81,25.37,4.03,Postpaid,97.45,-5.48,7.36,0.36
63bd01e0-915e-4fb0-af8f-8a1676d7d76a,2026-03-20,CUST-667788,84.39,3881.94,2025-09-22,163.87,2025-10-02,0,0,23.6,13.05,30.23,Family,4.43,4.14,25.66,7.2,Enterprise,97.73,-3.88,14.7,0.46
558870ec-6e71-4165-982d-6a7e94500e60,2026-03-24,CUST-271713,49.71,2734.05,2026-01-05,77.16,2025-10-29,0,0,1.75,28.65,45.27,Enterprise,1.41,1.53,71.18,3.06,Prepaid,96.67,-5.22,10.02,0.13
e8de165f-83c5-4b23-8ba1-f06ebaf1b83b,2026-06-11,CUST-992607,105.1,4414.2,2026-06-11,119.07,2026-04-25,0,2,38.17,28.38,36.47,Premium,1.05,-4.32,153.66,1.41,Enterprise,97.88,-6.33,4.37,0.43
16330b87-7acd-4548-8754-eddac7099211,2026-05-09,CUST-501473,37.05,1741.35,2025-07-29,69.91,2025-10-16,0,1,14.3,24.89,23.01,Enterprise,3.51,-0.36,144.69,8.12,Enterprise,95.68,-2.61,13.71,0.47
3b3ebf9f-df8f-4850-baa5-6fdaeab9dc87,2025-09-03,CUST-586978,29.65,1186,2025-11-02,143.2,2025-10-21,0,1,5.81,20.96,39.14,Family,0.97,5.83,123.54,2.91,Enterprise,96.09,-9.75,4.87,0.27
6d4a5b91-e2b9-4292-a6d2-f1890e67ec13,2026-02-19,CUST-984033,115.71,6595.469999999999,2025-08-07,99.5,2026-04-15,0,2,5.88,17.31,31.48,Enterprise,1.01,6.25,119.72,0.34,Enterprise,99.57,-4.03,1.87,0.29
116f9e7a-f9f3-48ad-bf70-f4ac77315677,2025-12-04,CUST-691388,112.24,2132.56,2026-02-12,160.21,2025-10-06,0,1,7.51,5.66,48.44,Enterprise,4.31,4.82,62.68,1.81,Postpaid,95.74,-7.72,3.02,0.37
8d5a9a04-4848-487f-b214-ea4ce10ed113,2025-12-14,CUST-968936,114.73,2753.52,2025-12-07,21.44,2025-12-13,19.47,1,41.83,13.99,15.39,Basic,4.18,-4.44,111.77,0.51,Enterprise,98.02,-4.38,6.59,0.2
8205849c-f5f0-49b7-b3a3-f6130f1b1a8a,2025-12-13,CUST-698374,29.86,1015.24,2025-08-17,100.3,2026-02-24,0,1,23.95,17.76,39.51,Enterprise,1.04,4.18,44.59,9.67,Enterprise,95.78,-3.46,7.82,0.13
48c533d6-8463-4109-b154-cbc4269f296c,2025-08-02,CUST-189124,107.95,3346.4500000000003,2025-08-10,42.03,2026-06-04,36.53,1,33.25,20.59,28.03,Basic,1.72,4.27,49.67,1.18,Postpaid,99.87,-6.5,8.72,0.12
8b378474-654e-483f-9797-74dde3805685,2026-04-28,CUST-463467,111.33,1669.95,2026-03-11,72.14,2026-04-09,0,0,46.13,5.73,28.67,Enterprise,2.74,3.6,143.53,4.68,Enterprise,96.97,-3.6,8.86,0.17
17d60f6a-6ac0-4a30-bfb6-fb0bfb073385,2026-07-13,CUST-410901,41.66,2249.64,2025-08-12,48.72,2025-08-26,30.3,0,44.58,6.68,47.37,Premium,0.77,1.71,130.35,0.7,Postpaid,99.94,-7.77,18.2,0.32
fc67fa28-530b-43a9-af9a-ddf21c541188,2025-09-15,CUST-318350,88.8,4440,2026-05-05,133.62,2026-05-14,0,2,13.28,6.58,12.59,Family,4.53,-3.75,125.12,5.77,Enterprise,98.88,-6.88,5.18,0.13
454818a6-b771-478d-a803-42bc46daf830,2026-03-29,CUST-765268,44.5,1379.5,2025-12-17,143.28,2026-05-22,16.84,2,48.36,21.2,46.45,Enterprise,2.11,8.97,142.15,3.93,Prepaid,99.86,-0.89,17.2,0.38
059360be-1b42-4644-aeb9-70b7fc5efbd6,2025-11-01,CUST-525442,73.09,3946.86,2025-11-22,129.41,2026-07-05,0,1,12.89,27.18,11.93,Basic,4,7.66,72.13,5.42,Prepaid,95.51,-4.98,7.16,0.21
ae9382f8-ebad-4bb1-9ce7-a92f901f9d10,2026-01-01,CUST-357191,131.96,5674.280000000001,2025-10-31,76.07,2025-09-10,0,1,44.58,12.44,46.63,Basic,0.53,0.91,77.86,5.82,Prepaid,97.66,-6.49,16.98,0.11
7ff913a0-6abd-4651-ae29-bb2f3bc6b3b5,2025-12-26,CUST-716328,31.69,1299.29,2026-02-05,136.49,2025-08-25,0,0,45.28,15.49,39.79,Premium,1.44,3.2,58.57,0.05,Prepaid,99.18,-5.16,16.41,0.29
4ef80100-12e1-4530-9e5d-ecd8489c9b12,2025-11-13,CUST-243966,121.81,5968.6900000000005,2025-10-17,199.75,2026-03-21,0,0,47.83,2.36,18.07,Basic,1.13,8.58,149.25,0.47,Enterprise,96.78,-5.83,4.98,0.41
7c67981a-d57a-4ffa-bea6-2540abd5a16d,2025-09-25,CUST-707513,127.85,6520.349999999999,2026-05-09,117.34,2025-12-20,0,1,33.75,13.83,34.85,Enterprise,2.66,6.41,144.51,8.28,Prepaid,95.63,-2.85,18.34,0.4
501f8873-3906-4554-b0aa-a3166c911f59,2025-11-01,CUST-702565,129.83,3765.07,2025-08-30,91.7,2026-04-25,0,2,13.26,0.87,48.71,Premium,2.86,0.83,168.06,6.22,Enterprise,97.88,-1.64,17.53,0.43
2fed9838-8bc2-47c3-9314-836b21474918,2025-11-16,CUST-589436,107.02,1605.3,2025-09-27,87.06,2026-02-28,0,2,27.26,6.87,35.31,Basic,0.94,3.7,181.45,6.61,Enterprise,96.91,-0.69,12.27,0.31
6ad2cc0e-9ba5-477f-aef1-6e9e64197803,2026-04-12,CUST-934165,78.45,4314.75,2026-04-16,63.34,2026-07-02,0,0,11.74,18.31,21.5,Family,1.77,-1.13,89.09,1.17,Postpaid,98.41,-2.9,13.38,0.31
cc7990ef-5975-46a4-9554-b2c75efb15fe,2025-08-14,CUST-548860,59.21,3315.76,2025-11-22,48.44,2025-12-14,0,1,24.68,7.67,19.2,Family,1.59,1.75,183.38,5.98,Prepaid,97.73,-3.06,16.94,0.17
