Record_ID,Date,Carbon_Footprint_per_Subscriber_kgCO2e,E_Waste_Recycling_Rate_devices_SIMs,Green_Energy_Usage_in_Network_Operations,Community_Connectivity_Program_Reach_Customers,Digital_Inclusion_Index,ESG_Environmental_Social_Governance_Compliance_Score,Accessibility_Features_Adoption_Rate
a7e6b43c-4b80-46fa-874f-1dc492c9f57b,2025-12-01,1.55,46.43,46.11,43632,0.53,0.74,73.03
3b786c41-14e4-4ca8-aba3-7955be59aad8,2026-07-17,2.07,49.94,44.45,7038,0.76,0.8,75.1
b7d59344-a028-425a-851f-4b67f6879e91,2025-08-22,8.56,30.38,25.8,45213,0.65,0.87,35.55
0bb5b9d3-dc14-4f82-9aa5-ef0a42ffae86,2025-12-16,5.56,43.72,23.53,18862,0.64,0.83,59.47
cf74209b-839f-49b9-ba01-5eb3441f0870,2025-12-03,4.98,10.09,48.45,36992,0.74,0.94,42.74
91277a63-c19d-4242-ac20-58c200cdc624,2025-11-27,5.38,23.66,31.46,41376,0.57,0.98,27.01
2febe403-6b68-4a31-bb44-3a236e03f732,2025-09-14,5.42,35.06,36.16,24151,1,0.98,29.95
9bf20d68-a825-4247-a93a-06e77c4a5238,2026-04-02,6.28,16.76,38.22,14195,0.89,0.75,49.64
8b3b74e0-3bc9-4896-8a49-0be6b9850ca9,2026-02-25,6.39,49.89,5.84,14908,0.62,0.91,30.98
f99c4533-b99b-4d3a-9de0-37d8acae8c55,2026-04-07,3.31,49.91,28.93,35057,0.78,0.71,20.56
ee5c1aca-bb41-4f30-bb4e-35ec98668841,2026-03-06,2.68,14.33,22.07,25193,0.81,0.72,73.55
80bc4dd3-d0ae-402d-af41-deab49399260,2025-09-14,1.29,37.2,29.95,23515,0.53,0.97,76.98
d675a622-6501-4320-aff7-a10791101265,2026-07-07,9.76,46.93,14.73,33050,0.54,1,44.01
edf4931a-816b-4fad-8718-a36d6afc3033,2025-12-15,1.87,19.57,9.12,45921,0.61,0.75,50.81
e919c0f9-cd41-4fb1-9aee-883574f66be5,2026-04-01,3.84,23.14,17.26,14950,0.94,0.89,62.85
18a59e54-6e5a-4610-9910-83e13389451f,2025-12-31,5.72,28.91,44.7,44993,0.67,0.85,24.02
356cda3a-ffa4-46f9-8ad0-10df4287e022,2025-10-30,4.79,14.75,27.43,3044,0.86,0.93,72.15
e7017bb3-d825-434d-a683-64e14a9c4882,2026-03-28,3.39,37.2,7.37,16300,0.52,0.73,54.21
523ec966-9271-401a-bbf8-7598271f8162,2025-09-03,5.59,21.92,19.39,23947,0.83,0.88,75.87
01a96af6-498b-46a8-aa43-7196fc9572a8,2026-02-15,6.58,13.68,13.63,11104,0.7,0.99,52.43
67218763-a1c8-46f0-8f9e-828eba517360,2026-06-21,3.03,26.64,24.54,45290,0.66,0.95,76.16
c695622e-7be6-41dd-8851-82e69d43bef4,2026-04-22,2.64,29.07,36.05,18947,0.59,0.98,65.3
91e0daeb-8cb4-4fd0-990a-80da0abc6f07,2025-09-24,7.73,10.04,43.15,23887,0.61,0.87,35.33
034a55a9-668a-4d53-9253-06a3527990d4,2026-05-20,5.56,10.7,31.32,3439,0.67,0.86,28.9
e8e89c81-a2ae-4262-9330-c52e55881a8e,2026-03-10,2.23,31.79,46.03,49749,0.98,0.83,61.55
d999e844-23ab-4e8f-80a9-af89208d6c11,2025-12-18,5.6,37.29,10.29,20440,0.8,0.89,51.95
5f8f8a34-3c9a-4466-826f-2e6bb825b2e5,2026-01-10,9.03,28.22,25.87,33091,0.85,0.88,39.57
7e70a458-e47a-482a-baf7-4ab4a8d28457,2026-05-06,2.64,35.57,37.24,33436,0.69,0.75,42.26
0be014db-7fb8-4ace-a9ce-6122928b83df,2026-06-29,9.74,18.6,49.92,28128,0.6,0.74,73.41
