Record_ID,Date,Customer_ID,Call_Duration_Minutes,Number_of_Calls_Inbound_Outbound,SMS_Sent_Received,Data_Usage_GB,Data_Session_Count,Peak_Hour_Usage_Time,Streaming_Services_Accessed,International_Usage_Voice_Data,Wi_Fi_Offloading_Ratio,Hotspot_Usage_Yes_No,Hotspot_Usage_MBs_shared,Voice_over_IP_VoIP_Usage_Minutes,Data_Usage_by_App_Category,Peak_vs_Off_Peak_Usage_Ratio,Average_Call_Hold_Time_Seconds,SMS_Delivery_Success_Rate,Data_Throttling_Instances,Cloud_Service_Usage,Gaming_Data_Consumption_GB,Multi_Device_Usage_Patterns,Roaming_Data_Usage_by_Country
c650975c-1629-4f18-a322-74fe6cf60a23,2025-11-07,CUST-477663,297,27,188,47.66,32,20:00-22:00,YouTube,88.77,0.3,No,0,48,News,1.1,34,99.89,2,Yes,7.27,Single,N/A
81950d17-e291-45c2-b48d-be4f0992fb8f,2026-06-21,CUST-960610,143,40,9,2.25,45,12:00-14:00,Spotify,37.74,0.86,No,0,59,Maps,0.6,21,95.38,2,No,7.44,Single,N/A
a9c5ef17-e1f4-4d90-ac74-6742ca6eebb6,2025-09-15,CUST-413735,24,4,46,18.78,33,18:00-20:00,None,69.66,0.82,No,0,8,Social,1.76,8,98.43,4,Yes,7.81,Multiple,N/A
2eb3a4ae-91a5-4e7b-9083-af72cb8508dc,2026-03-01,CUST-311470,143,28,192,41.51,31,12:00-14:00,Spotify,87.24,0.67,No,0,37,News,1.52,57,98.38,3,Yes,7.41,Single,N/A
51b935a9-01fb-4cf3-a2e3-a230c50392f8,2025-12-07,CUST-256418,216,35,136,48.79,44,12:00-14:00,YouTube,16.82,0.49,No,3635,14,Productivity,1.56,8,98.92,0,No,0.94,Single,N/A
93af83a9-a84b-4c25-acd5-93a9c582b33d,2026-05-19,CUST-418249,182,10,194,1.76,29,08:00-10:00,Netflix,75.15,0.3,No,0,5,Maps,0.87,12,97.67,1,Yes,9.43,Multiple,USA
89748efa-191f-4b60-a2d1-3e116629b777,2025-08-03,CUST-757966,137,17,180,1.87,15,12:00-14:00,Netflix,14.61,0.75,Yes,0,58,Social,1.47,58,98.18,2,No,8.9,Single,N/A
f79d5f2c-001d-4b40-b1fa-6143c76a13dd,2026-01-09,CUST-923645,259,25,117,31.44,39,18:00-20:00,Netflix,18.81,0.72,No,0,39,Gaming,1.9,43,98.84,3,No,5.22,Multiple,N/A
881b3612-5547-4d32-91de-eb7eaeebdfba,2026-06-03,CUST-151254,201,49,63,12.87,46,20:00-22:00,YouTube,7.73,0.22,No,0,22,Maps,0.81,55,98,2,No,4.73,Single,N/A
dec8f821-0d43-4c91-884c-fea75d4ff361,2025-10-02,CUST-574399,96,33,14,34.56,23,20:00-22:00,YouTube,32.84,0.48,No,0,20,Social,1.66,42,96.24,3,No,5.13,Multiple,N/A
dcc23ed0-2cda-494c-b814-d26fe6b22ff5,2026-02-01,CUST-284795,213,9,42,15.29,23,20:00-22:00,YouTube,93.28,0.87,Yes,0,18,Gaming,1.15,38,95.71,1,No,7.26,Multiple,Germany
4813e58a-e0fc-4185-9d2f-953e177113ca,2026-02-01,CUST-877999,151,44,79,9.33,10,18:00-20:00,YouTube,86.68,0.78,No,0,58,Maps,1.21,18,95.37,5,No,2.32,Single,Mexico
7849f6fc-0c29-4f5c-a03d-09c661629131,2026-02-12,CUST-897432,25,19,75,29.81,37,20:00-22:00,None,29.08,0.61,No,0,6,Streaming,1.79,54,99.16,5,No,0.93,Single,N/A
d9ad52d4-5f35-49ac-8307-5c971c26318c,2026-02-21,CUST-131412,55,26,40,48.72,24,08:00-10:00,None,83.76,0.25,No,0,24,Social,1.78,58,97.64,1,No,7.11,Multiple,N/A
96f42465-0992-462b-9a63-c3e4b9f95bde,2026-03-29,CUST-265055,102,18,130,33,29,08:00-10:00,None,60.62,0.27,No,8806,52,News,0.94,21,98.59,0,No,5.32,Single,N/A
bb5498a5-cfbb-446a-81c9-244e86cbf83e,2026-03-06,CUST-579792,168,5,85,25.78,6,12:00-14:00,None,92.54,0.49,No,0,18,Maps,1.52,11,95.44,2,No,7.17,Multiple,N/A
c81b8b98-9773-416d-a7d6-44b243926fe6,2026-04-12,CUST-378686,193,44,185,9.09,12,12:00-14:00,None,49.86,0.66,Yes,0,5,Social,1.89,54,95.77,2,No,4.77,Single,N/A
e31e8ef0-7222-44a7-8a31-f5588a902cee,2026-05-09,CUST-407043,143,23,199,2.99,39,18:00-20:00,Spotify,60.73,0.51,No,0,23,Social,1.57,16,99.5,4,No,2.51,Multiple,N/A
